"STATE","VIOLENTCRIME","MURDER","RAPE","ROBBERY","AGGRAVATEDASSAULT","PROPERTYCRIME","BURGLARY","LARCENYTHEFT","MOTORVEHICLETHEFT","YEAR"
"Alabama",490.2,7.9,34.6,121.2,326.5,3922.2,884.4,2737.2,300.5,1999
"Alaska",631.5,8.6,83.5,91.4,448,3731.7,611.8,2690.5,429.4,1999
"Arizona",551.2,8,28.9,152.5,361.6,5345.4,1034.4,3510.5,800.5,1999
"Arkansas",425.2,5.6,27.8,79.3,312.5,3617.5,850.3,2506,261.2,1999
"California",627.2,6,28.2,181.1,411.7,3177.8,675.3,1994.2,508.3,1999
"Colorado",340.5,4.6,41.4,75.3,219.2,3722.9,665.2,2693,364.8,1999
"Connecticut",345.6,3.3,19.9,123.5,198.9,3043.7,588,2111.5,344.2,1999
"Delaware",734,3.2,70.2,197.9,462.7,4101.1,695.6,3001.9,403.6,1999
"District of Columbia",1627.7,46.4,47.8,644.3,889.2,6439.3,976.3,4181.3,1281.7,1999
"Florida",854,5.7,46.3,211.6,590.5,5351.6,1200.3,3534.5,616.7,1999
"Georgia",534,7.5,29.8,166.4,330.3,4614.6,917.2,3182.3,515.2,1999
"Hawaii",235,3.7,29.9,88.1,113.3,4602.4,795,3414.2,393.2,1999
"Idaho",244.9,2,33.3,17.8,191.8,2904.4,610.3,2142.5,151.6,1999
"Illinois",732.5,7.7,34.2,219.4,471.2,3774.1,712.3,2632.1,429.7,1999
"Indiana",374.6,6.6,27,109.3,231.7,3391.3,714.5,2335.4,341.4,1999
"Iowa",280,1.5,27.2,36.6,214.7,2944,593,2172,179,1999
"Kansas",382.8,6,40.1,77.1,259.5,4055.9,824.2,3003.8,227.9,1999
"Kentucky",300.6,5.4,26.3,80,189,2577.5,610.9,1748.7,217.9,1999
"Louisiana",732.7,10.7,33.1,173.6,515.2,5014.2,1092.7,3425.2,496.2,1999
"Maine",112.2,2.2,19.1,19.4,71.6,2762.8,601.1,2026.5,135.2,1999
"Maryland",743.4,9,30,263.7,440.7,4175.8,835.8,2848,492,1999
"Massachusetts",551,2,26.9,96,426,2711.5,533.8,1762.7,415,1999
"Michigan",574.9,7,49.2,143,375.7,3749.9,777.9,2396.1,575.8,1999
"Minnesota",274,2.8,42.7,82,146.5,3323.2,580.1,2465.2,278,1999
"Mississippi",349.3,7.7,41.7,111.6,188.2,3920.5,1051.2,2380.6,488.7,1999
"Missouri",500.2,6.6,26.3,130.7,336.6,4078.5,776.8,2881.3,420.3,1999
"Montana",206.5,2.6,28.3,25.8,149.7,3863.4,428.5,3220.2,214.7,1999
"Nebraska",430.2,3.6,24.8,75.9,325.9,3678.1,609.7,2741.8,326.5,1999
"Nevada",570,9.1,52.1,232.7,276.1,4083.7,973.6,2386.2,723.8,1999
"New Hampshire",96.5,1.5,28.7,21.4,44.9,2185.4,307.9,1764.8,112.7,1999
"New Jersey",411.9,3.5,17.3,174.9,216.1,2988.2,577.2,1976.9,434.2,1999
"New Mexico",834.5,9.8,54.3,148.2,622.2,5127.6,1234.5,3426,467,1999
"New York",588.8,5,19.6,240.8,323.5,2690.5,512.3,1858.1,320.2,1999
"North Carolina",542.1,7.2,28.2,158,348.7,4633.3,1286.9,3012.2,334.3,1999
"North Dakota",66.9,1.6,22.4,8.8,34.1,2326.2,368.6,1794.2,163.4,1999
"Ohio",316.4,3.5,36.7,128,148.2,3680.1,773.1,2558.8,348.2,1999
"Oklahoma",508.2,6.9,40.9,82.9,377.5,4175.7,1026.6,2787.8,361.3,1999
"Oregon",374.9,2.7,36.8,86.2,249.3,4627.1,806.7,3409.3,411.1,1999
"Pennsylvania",420.5,4.9,27.3,155.7,232.5,2693.2,467.2,1898.9,327.1,1999
"Puerto Rico",364.7,14.6,5.7,252.8,91.6,1740.6,592.4,776.9,371.3,1999
"Rhode Island",286.6,3.6,39.5,79.5,164,3295.4,639.9,2248.6,406.9,1999
"South Carolina",847.1,6.6,40.8,148.2,651.4,4477.3,1019.8,3085.7,371.7,1999
"South Dakota",167.4,2.5,45.8,14.1,105,2477.4,444.1,1915.8,117.5,1999
"Tennessee",694.9,7.1,44,156.8,487,3998.9,936.6,2601.8,460.5,1999
"Texas",560.3,6.1,38,146.7,369.5,4471.5,949.7,3062.6,459.2,1999
"Utah",275.5,2.1,37.8,54.4,181.3,4700.9,685.1,3669.3,346.6,1999
"Vermont",113.8,2.9,22.9,10.9,77.1,2703.5,595.5,1954.5,153.5,1999
"Virginia",314.7,5.7,25,101.1,182.8,3059.2,471.6,2326.4,261.2,1999
"Washington",377.3,3,47.1,100.9,226.3,4878.3,949.5,3341.5,587.3,1999
"West Virginia",350.6,4.4,18.6,36.6,291,2370,570.2,1591.6,208.2,1999
"Wisconsin",245.9,3.4,20.1,84.7,137.6,3050.6,488.2,2299.1,263.2,1999
"Wyoming",232.3,2.3,28.5,15.4,186,3222.5,489.4,2609,124.2,1999
"Alabama",486.2,7.4,33.3,128.2,317.2,4059.7,906.9,2864.8,288,2000
"Alaska",566.9,4.3,79.3,78.2,405.1,3682.5,621.9,2685.8,374.8,2000
"Arizona",531.7,7,30.7,146.3,347.7,5297.8,1011.6,3444.1,842.1,2000
"Arkansas",445.3,6.3,31.7,74.8,332.4,3670,802.1,2608.7,259.3,2000
"California",621.6,6.1,28.9,177.9,408.7,3118.2,656.3,1924.5,537.4,2000
"Colorado",334,3.1,41.2,70.5,219.1,3648.6,630.8,2623.5,394.3,2000
"Connecticut",324.7,2.9,19.9,112.5,189.4,NA,512,2011.4,384.6,2000
"Delaware",684.4,3.2,54.1,177.9,449.2,3793.6,665.6,2725.9,402.1,2000
"District of Columbia",1507.9,41.8,43.9,621.3,801,5768.6,829.5,3785.4,1153.7,2000
"Florida",812,5.6,44.2,199,563.2,4882.7,1081.8,3242.9,558,2000
"Georgia",504.7,8,24,161.9,310.9,4246.4,836.6,2937,472.8,2000
"Hawaii",243.8,2.9,28.6,92.7,119.7,4955.1,880.3,3570.2,504.6,2000
"Idaho",252.5,1.2,29.7,17.2,204.3,2933.7,566.5,2206,161.2,2000
"Illinois",656.8,7.2,32.9,207.4,409.3,3629.4,659.6,2517.8,452.1,2000
"Indiana",349.1,5.8,28.9,103.3,211.1,3402.8,676.1,2379.9,346.8,2000
"Iowa",266.4,1.6,23.1,36.6,205.1,2967.3,558.4,2225.2,183.6,2000
"Kansas",389.4,6.3,38,76.2,269,4019.4,799.1,2978.6,241.6,2000
"Kentucky",294.5,4.8,27,80.6,182.2,2665.2,626.2,1809.6,229.5,2000
"Louisiana",681.1,12.5,33.5,168.5,466.6,4741.7,1035.8,3229.9,475.9,2000
"Maine",109.6,1.2,25.1,19.4,63.9,2510.2,531.4,1875.1,103.7,2000
"Maryland",786.6,8.1,29.1,256,493.3,4029.5,744.4,2745.7,539.5,2000
"Massachusetts",476.1,2,26.7,91.6,355.9,2550,482,1660.5,407.6,2000
"Michigan",555,6.7,50.6,138,359.7,3554.9,702.2,2291.9,560.7,2000
"Minnesota",280.8,3.1,45.5,75.5,156.7,3207.6,530.9,2403.7,273,2000
"Mississippi",360.9,9,35.8,95,221.1,3643.5,946.3,2452.2,245,2000
"Missouri",490,6.2,24.1,135.8,323.9,4037.7,745,2851.3,441.4,2000
"Montana",240.6,1.8,33.4,27.6,177.9,3292.7,437.4,2638.6,216.8,2000
"Nebraska",327.6,3.7,25.5,67,231.4,3767.9,592,2870.3,305.6,2000
"Nevada",524.2,6.5,43,227.3,247.3,3744.4,877.1,2208.2,659.2,2000
"New Hampshire",175.4,1.8,42.2,36.7,94.7,2257.8,404,1680,173.8,2000
"New Jersey",383.8,3.4,16.1,161.1,203.2,2776.6,522,1848.8,405.9,2000
"New Mexico",757.9,7.4,50.7,137.4,562.4,4761,1173.1,3184.4,403.6,2000
"New York",553.9,5,18.6,213.6,316.7,2545.7,463.4,1796.4,285.8,2000
"North Carolina",497.6,7,27.1,156.5,307,4421.8,1216.1,2891.8,313.9,2000
"North Dakota",81.4,0.6,26.3,8.7,45.8,2206.6,325.9,1727.2,153.5,2000
"Ohio",334.1,3.7,37.6,137.5,155.3,3707.7,780.7,2583.2,343.7,2000
"Oklahoma",497.8,5.3,41.2,75.8,375.5,4060.8,917.5,2785.4,357.8,2000
"Oregon",350.7,2,37.6,84.4,226.7,4494.7,748.8,3338.7,407.2,2000
"Pennsylvania",420,4.9,26.4,147.8,240.9,2575.3,440.4,1839.2,295.8,2000
"Puerto Rico",325.7,18.2,6,229.9,71.6,1653.4,552.9,759.9,340.7,2000
"Rhode Island",297.7,4.3,39.3,88,166.2,3178.7,631.5,2102.2,445,2000
"South Carolina",804.9,5.8,37.7,146.6,614.8,4416.5,969.3,3068.1,379,2000
"South Dakota",166.8,0.9,40.4,17.4,108.1,2153,383.7,1663.7,105.7,2000
"Tennessee",707.2,7.2,38.4,166.4,495.2,4183,990.4,2708.8,483.9,2000
"Texas",545.1,5.9,37.7,145.1,356.3,4410.4,906.3,3057.4,446.8,2000
"Utah",255.7,1.9,38.6,55.6,159.5,4220.3,642.5,3288.5,289.3,2000
"Vermont",113.5,1.5,23,19.2,69.8,2873.4,575,2165.5,132.9,2000
"Virginia",281.7,5.7,22.8,88.9,164.3,2746.4,429.9,2064.8,251.6,2000
"Washington",369.7,3.3,46.4,98.6,221.3,4736,907.3,3234.6,594.1,2000
"West Virginia",316.5,2.5,18.3,41.4,254.2,2286.3,546.9,1556.1,183.3,2000
"Wisconsin",236.8,3.2,21.7,84.6,127.3,2972.3,469.5,2229.9,272.9,2000
"Wyoming",266.5,2.4,32.4,14.2,217.5,3031.5,420.8,2494.6,116,2000
"Alabama",438.6,8.5,30.7,125.1,274.4,3880.8,910.4,2687.8,282.7,2001
"Alaska",588.3,6.1,78.9,81,422.3,3647.9,605.9,2629.6,412.4,2001
"Arizona",540.3,7.5,28.6,167.1,337.1,5537.1,1032.9,3520.6,983.6,2001
"Arkansas",452.8,5.5,33.1,81,333.2,3681.4,824.5,2585,271.9,2001
"California",617,6.4,28.9,187.1,394.6,3286,672.4,2022.2,591.4,2001
"Colorado",350.7,3.6,43.7,80.5,222.9,3868.2,645.9,2747.1,475.2,2001
"Connecticut",335.5,3.1,18.7,122.1,191.7,2782.4,501,1920,361.4,2001
"Delaware",611.4,2.9,52.8,145.2,410.6,3441.4,646.1,2446.2,349,2001
"District of Columbia",1736.7,40.6,32.9,689.6,973.7,5972.8,876.3,3755.2,1341.3,2001
"Florida",797.2,5.3,40.5,200.5,550.9,4772.5,1073.7,3150.4,548.4,2001
"Georgia",497,7.1,26,171.8,292.1,4149.3,856.4,2844.5,448.3,2001
"Hawaii",254.6,2.6,33.4,93.3,125.3,5131.5,911.6,3669.2,550.7,2001
"Idaho",243.1,2.3,32.2,18.5,190.1,2890.3,568.3,2141.2,180.8,2001
"Illinois",636.9,7.9,31.5,199.2,398.3,3460.8,631.6,2438.3,390.8,2001
"Indiana",371.8,6.8,28.1,117.3,219.7,3459.6,699.3,2408.8,351.6,2001
"Iowa",269.1,1.7,22.2,39.5,205.7,3032.1,577.6,2266.2,188.3,2001
"Kansas",404.8,3.4,35.1,89.9,276.4,3916.6,761.3,2858.9,296.3,2001
"Kentucky",257,4.7,27.8,80.7,143.8,2681.1,651.9,1799.3,229.8,2001
"Louisiana",687,11.2,31.4,176.1,468.3,4651.1,1040.2,3125.2,485.7,2001
"Maine",111.5,1.4,25.3,20.5,64.2,2576.7,536.1,1910.7,129.9,2001
"Maryland",783,8.3,27,251.6,496.1,4083.8,773.1,2715,595.8,2001
"Massachusetts",479.5,2.3,29.1,101.5,346.6,2619.1,508.4,1674.5,436.2,2001
"Michigan",554.7,6.7,52.7,129.5,365.8,3526.8,721,2269.2,536.6,2001
"Minnesota",264.4,2.4,45,75.6,141.4,3319.3,512.8,2504.3,302.3,2001
"Mississippi",350.1,9.9,40.1,115.3,184.8,3835.1,1043.4,2460.3,331.5,2001
"Missouri",541.3,6.6,24.6,138,372.1,4234.9,763.4,2973.9,497.6,2001
"Montana",352.4,3.8,20.8,25.4,302.4,3336.3,405.8,2729.2,201.3,2001
"Nebraska",304.3,2.5,25.2,65.8,210.8,4025.3,569.7,3076.8,378.8,2001
"Nevada",586.8,8.5,41.9,234.2,302.2,3679.2,840.9,2140.1,698.1,2001
"New Hampshire",170.3,1.4,36.4,35.3,97.2,2151.3,388.3,1593.1,170,2001
"New Jersey",390.1,4,15.1,166.3,204.7,2835.2,551.7,1839,444.4,2001
"New Mexico",781.1,5.4,46.5,147.3,581.9,4542.8,1068.9,3083.7,390.2,2001
"New York",516,5,18.7,192.3,300,2409.1,422.9,1732.2,254,2001
"North Carolina",494.3,6.2,25.4,162.5,300.2,4443.7,1244.6,2898,301.1,2001
"North Dakota",79.6,1.1,25.8,9.5,43.2,2338.1,341.2,1825.7,171.2,2001
"Ohio",351.9,4,39.3,151.2,157.4,3825.7,852.1,2602.3,371.3,2001
"Oklahoma",512.3,5.3,42.9,79.4,384.6,4094.7,999.2,2732.2,363.3,2001
"Oregon",306.7,2.4,33.8,79.2,191.3,4737.4,767.3,3542.7,427.4,2001
"Pennsylvania",410.4,5.3,28.2,142.4,234.5,2550.7,442.3,1817.8,290.7,2001
"Puerto Rico",297,19.4,4.9,208.3,64.4,1529.1,519.1,680.8,329.3,2001
"Rhode Island",309.6,3.7,39.3,93.1,173.5,3375.3,644.4,2254.7,476.2,2001
"South Carolina",720.3,6.3,34,130.7,549.3,4032.4,906.5,2762.7,363.3,2001
"South Dakota",154.8,0.9,46.4,13.6,93.8,2177.2,408,1661.5,107.7,2001
"Tennessee",745.3,7.4,38.3,178,521.6,4407.5,1040.2,2874.8,492.5,2001
"Texas",572.8,6.2,38.3,165.8,362.5,4579.9,958.3,3140.1,481.4,2001
"Utah",234.1,3,39.5,52.7,139,4008.9,608.2,3113.8,286.9,2001
"Vermont",105,1.1,17.5,17.5,69,2664.2,513.8,2026.8,123.6,2001
"Virginia",291.3,5.1,24.6,95.4,166.2,2886.9,439.7,2185.1,262.1,2001
"Washington",355,3,43.4,99.1,209.5,4796.8,885.5,3258.7,652.6,2001
"West Virginia",279.4,2.2,17.8,39.2,220.2,2280.1,532.8,1568.8,178.5,2001
"Wisconsin",231.1,3.6,21.1,82.3,124.2,3090.1,498.5,2319.1,272.5,2001
"Wyoming",257.3,1.8,30.9,17,207.5,3260.4,501.8,2617.8,140.8,2001
"Alabama",444.2,6.8,37.1,132.9,267.5,4020.9,949,2762.3,309.6,2002
"Alaska",563.4,5.1,79.4,76,402.9,3746.3,607,2755.4,383.8,2002
"Arizona",552.9,7.1,29.5,146.6,369.8,5833.4,1082.9,3693.6,1056.9,2002
"Arkansas",424.4,5.2,27.8,93.1,298.2,3733.1,857.1,2624.6,251.4,2002
"California",593.4,6.8,29,185,372.6,3350.3,679,2038.1,633.2,2002
"Colorado",352.4,4,45.8,79.4,223.2,3995.4,702.9,2778,514.4,2002
"Connecticut",311.1,2.3,21.1,117.3,170.4,2686.1,493.8,1857.9,334.4,2002
"Delaware",599,3.2,44.3,142.9,408.5,3340,663.3,2298.2,378.6,2002
"District of Columbia",1632.9,46.2,45.9,671.6,869.2,6389.4,905.6,3802.4,1681.4,2002
"Florida",770.2,5.5,40.4,194.9,529.4,4650.4,1060.5,3060.3,529.6,2002
"Georgia",458.8,7.1,24.6,156.9,270.1,4048.4,863.7,2740.4,444.3,2002
"Hawaii",262,1.9,29.9,97.2,133,5781.7,1021.9,3963.7,796,2002
"Idaho",254.9,2.7,37.1,17.9,197.3,2917.5,554.8,2166.8,195.9,2002
"Illinois",620.7,7.5,34.1,200.6,378.5,3395.6,643.8,2395.9,356,2002
"Indiana",357.2,5.9,29.9,107.4,214.1,3392.8,691.7,2371.7,329.4,2002
"Iowa",285.6,1.5,27.1,39.8,217.2,3162.6,634.8,2329.5,198.3,2002
"Kansas",376.6,2.9,38.1,79.7,255.9,3710.3,724.6,2720.2,265.5,2002
"Kentucky",279,4.5,26.6,74.8,173.1,2623.6,680.6,1729.2,213.8,2002
"Louisiana",662.3,13.2,34.1,158.9,456.1,4435.7,1011.7,2973.7,450.3,2002
"Maine",107.8,1.1,29.1,20.9,56.8,2548.2,538.1,1899.7,110.4,2002
"Maryland",769.8,9.4,25.1,245.8,489.5,3977.6,728.5,2625.8,623.3,2002
"Massachusetts",484.4,2.7,27.6,111.5,342.5,2609.8,517.2,1679,413.6,2002
"Michigan",540.3,6.7,53.4,117.9,362.3,3333.8,706.1,2132.9,494.7,2002
"Minnesota",267.5,2.2,45.3,78.4,141.6,3267.6,558.5,2433.4,275.8,2002
"Mississippi",343.3,9.2,39.2,116.9,178,3815.9,1030.5,2453.8,331.6,2002
"Missouri",538.7,5.8,25.8,123.8,383.2,4063.8,753.1,2819.2,491.5,2002
"Montana",351.5,1.8,26.1,31.1,292.6,3161.4,361.6,2603.7,196.1,2002
"Nebraska",313.9,2.8,26.8,78.6,205.7,3942.8,597.3,2974.8,370.6,2002
"Nevada",637.5,8.3,42.7,235.5,351,3860,871.9,2183.5,804.5,2002
"New Hampshire",161.2,0.9,35,32.4,92.9,2058.7,379.4,1526.8,152.5,2002
"New Jersey",374.5,3.9,15.7,161.9,193,2649.7,511,1722.7,416,2002
"New Mexico",739.5,8.2,55.4,118.9,557.1,4338.2,1058.4,2878.9,400.9,2002
"New York",496,4.7,20.3,191.3,279.7,2307.7,400.4,1660.1,247.2,2002
"North Carolina",470.2,6.6,26.4,146.7,290.5,4251.2,1196.3,2756,298.9,2002
"North Dakota",78.2,0.8,25.7,9.1,42.6,2328,353.7,1813.7,160.5,2002
"Ohio",351.3,4.6,42.1,156.5,148.2,3755.9,868.2,2513.3,374.5,2002
"Oklahoma",503.4,4.7,45,84.9,368.8,4239.8,1006.7,2867.6,365.6,2002
"Oregon",292.4,2,35.2,77.9,177.4,4576,729.7,3377.1,469.2,2002
"Pennsylvania",401.9,5.1,30.2,139.1,227.5,2439.1,450.8,1722.2,266,2002
"Puerto Rico",349.1,20.1,6.2,232.7,90.1,2003.5,641.1,1027.3,335.2,2002
"Rhode Island",285.2,3.8,36.9,85.6,158.8,3303.8,599.7,2248.3,455.8,2002
"South Carolina",822,7.3,47.7,140.6,626.5,4475.3,1065.1,2999.5,410.7,2002
"South Dakota",177.4,1.4,47.4,15.4,113.1,2101.3,398.7,1595,107.6,2002
"Tennessee",716.9,7.2,39.5,162.4,507.8,4302,1056.5,2787.7,457.8,2002
"Texas",578.6,6,39.1,172.5,361,4611,976.1,3163.4,471.4,2002
"Utah",236.9,2,40.7,49.2,145,4215.5,653,3229.1,333.4,2002
"Vermont",106.7,2.1,20.4,12.5,71.7,2423.3,565.9,1732.8,124.7,2002
"Virginia",291.4,5.3,25.2,95.4,165.5,2848.9,435.4,2160.1,253.3,2002
"Washington",345.4,3,45,95.5,201.8,4761.4,905.4,3188.8,667.2,2002
"West Virginia",234.3,3.2,18.2,36.5,176.4,2280.9,537.1,1527.5,216.3,2002
"Wisconsin",224.9,2.8,22.7,86.6,112.7,3027.8,513.2,2267.2,247.3,2002
"Wyoming",273.5,3,29.7,18.6,222.2,3307.4,490.9,2667.5,149,2002
"Alabama",429.5,6.6,36.8,134.2,251.9,4049.1,960.8,2756,332.3,2003
"Alaska",593.4,6,92.5,68.4,426.5,3742.2,594.2,2770.7,377.3,2003
"Arizona",513.2,7.9,33.3,136.5,335.5,5632.4,1050.3,3560.9,1021.3,2003
"Arkansas",456.1,6.4,33.1,81.7,334.8,3621.4,913.6,2487.3,220.5,2003
"California",579.3,6.8,28.2,179.7,364.6,3424.3,682.8,2061.4,680.1,2003
"Colorado",345.1,3.9,41.6,82.1,217.6,3940.9,711.3,2730.8,498.8,2003
"Connecticut",308.2,3,18.7,119,167.5,2606.7,448.1,1842.1,316.5,2003
"Delaware",658,2.9,43.2,169.9,442,3384.4,729.8,2302.3,352.3,2003
"District of Columbia",1608.1,44.2,48.6,699.5,815.8,5800.3,829.1,3213.4,1757.8,2003
"Florida",730.2,5.4,39.5,185.2,500.1,4452,1002.7,2970.1,479.2,2003
"Georgia",453.9,7.6,25.7,161.8,258.8,4254.6,909.2,2846,499.4,2003
"Hawaii",270.4,1.7,29.2,92.9,146.5,5237.5,907.2,3562.9,767.4,2003
"Idaho",242.7,1.8,37.2,17.9,185.8,2908.7,570.2,2147.5,190.9,2003
"Illinois",556.8,7.1,32.9,188.2,328.6,3284.4,618.7,2335.6,330.1,2003
"Indiana",352.8,5.5,27.8,103.3,216.2,3357.7,671.1,2351.4,335.2,2003
"Iowa",272.4,1.6,25.9,38.1,206.8,2961.1,596,2174.9,190.2,2003
"Kansas",395.5,4.5,38.3,82.5,270.2,3994,803.6,2904.8,285.6,2003
"Kentucky",261.7,4.6,25.6,77.6,153.9,2681.5,671.6,1782.4,227.5,2003
"Louisiana",646.3,13,41.1,157.2,435,4349.5,998.1,2909.3,442.2,2003
"Maine",108.9,1.2,27.1,22.1,58.4,2456.7,503.9,1841.3,111.5,2003
"Maryland",703.9,9.5,24.7,241.5,428.3,3801.4,701.4,2439.2,660.8,2003
"Massachusetts",469.4,2.2,27.9,124.1,315.1,2549.5,539.7,1613.3,396.5,2003
"Michigan",511.2,6.1,54.1,111.7,339.3,3277.3,677.2,2067.1,533.1,2003
"Minnesota",262.6,2.5,41.2,77.2,141.8,3116.8,547.4,2297.4,272,2003
"Mississippi",325.5,9.3,37.4,104.8,174.1,3720.4,1035.6,2374.2,310.6,2003
"Missouri",472.8,5,24.4,108.7,334.5,4014.5,717.1,2794.9,502.4,2003
"Montana",365.2,3.3,26.8,32.5,302.6,3098,405.6,2484.7,207.7,2003
"Nebraska",289,3.2,28.5,66.8,190.5,3711.4,579.1,2780.2,352.1,2003
"Nevada",614.2,8.8,39,230.3,336.1,4288.4,980.6,2378,929.8,2003
"New Hampshire",148.8,1.4,33.2,37.1,77.1,2053.9,353.5,1551.5,148.9,2003
"New Jersey",365.8,4.7,15.3,154.7,191,2544.4,503,1641.3,400.2,2003
"New Mexico",665.2,6,50,104,505.2,4123.6,1025.2,2711.3,387.1,2003
"New York",465.2,4.9,19.7,186.3,254.3,2248.3,393.4,1619.3,235.6,2003
"North Carolina",454.9,6.1,25.4,145.5,278,4278,1197.6,2760.5,319.9,2003
"North Dakota",77.8,1.9,23.8,8,44,2096.1,306.2,1619.8,170.1,2003
"Ohio",333.2,4.6,40.1,147.7,140.8,3640.5,830.1,2451.9,358.5,2003
"Oklahoma",505.7,5.9,42.7,91.8,365.3,4306,992.3,2944.7,369,2003
"Oregon",295.5,1.9,34.2,80.1,179.3,4782.3,804.2,3444.6,533.5,2003
"Pennsylvania",398,5.3,28.8,145.4,218.6,2431.3,436,1724.8,270.4,2003
"Puerto Rico",306.4,20.1,5.3,199.5,81.6,1802.1,537.8,949.5,314.8,2003
"Rhode Island",285.6,2.3,46.9,77.1,159.3,2995,513.3,2074,407.7,2003
"South Carolina",793.5,7.2,44.4,136.7,605.1,4477.1,1050.9,3046.1,380.1,2003
"South Dakota",173.4,1.3,46.3,13.6,112.1,2001.7,375.9,1511.4,114.4,2003
"Tennessee",687.8,6.8,35.7,160.4,484.9,4379.4,1082,2845.3,452.1,2003
"Texas",552.5,6.4,36.2,167.4,342.5,4595.3,993.7,3157.7,444,2003
"Utah",248.6,2.5,37.9,53.4,154.8,4225.5,713.1,3182.2,330.2,2003
"Vermont",110.2,2.3,19.5,9.7,78.7,2200.1,477.8,1618,104.3,2003
"Virginia",275.8,5.6,24,90.3,155.9,2704.1,391.5,2070,242.5,2003
"Washington",347,3,46.7,93.3,204,4754.9,950.3,3142.1,662.5,2003
"West Virginia",257.5,3.5,16.4,40.3,197.3,2359.4,562.2,1602.6,194.7,2003
"Wisconsin",221,3.3,21.9,80.1,115.7,2882.6,485.4,2172.1,225.1,2003
"Wyoming",262.1,2.8,27.1,16.8,215.5,3321.3,520.9,2641.2,159.2,2003
"Alabama",426.6,5.6,38.5,133.4,249.1,4025,986,2729.5,309.6,2004
"Alaska",634.5,5.6,85.1,68.2,475.6,3382.8,575.6,2465.4,341.8,2004
"Arizona",504.1,7.2,33,134.4,329.4,5340.5,990.4,3387.2,962.9,2004
"Arkansas",499.1,6.4,42.4,86.2,364.1,4013,1093.5,2683.8,235.8,2004
"California",551.8,6.7,26.8,172.1,346.3,3419,685.1,2030.1,703.8,2004
"Colorado",373.5,4.4,42.5,81.5,245.1,3919.3,717.3,2679,522.9,2004
"Connecticut",286.3,2.6,20.7,120.5,142.6,2627.2,444.4,1868.1,314.7,2004
"Delaware",568.4,2,41.5,146.7,378.1,3163.9,648.3,2257.1,258.6,2004
"District of Columbia",1371.2,35.8,40.1,578.5,716.9,4859.1,712.9,2627.2,1519,2004
"Florida",711.3,5.4,38,172.4,495.5,4179.7,956.1,2773.3,450.2,2004
