"STATE","VIOLENTCRIME","MURDER","RAPE","ROBBERY","AGGRAVATEDASSAULT","PROPERTYCRIME","BURGLARY","LARCENYTHEFT","MOTORVEHICLETHEFT","YEAR"
"Georgia",455.5,6.9,27,154.7,266.8,4265.9,940,2825,501,2004
"Hawaii",254.4,2.6,26.4,74.8,150.7,4792.8,857.4,3252.8,682.6,2004
"Idaho",244.9,2.2,40.9,17.2,184.6,2794.4,547.3,2051.5,195.5,2004
"Illinois",542.9,6.1,33.2,177.2,326.4,3186.1,597.3,2271.3,317.4,2004
"Indiana",325.4,5.1,28.9,102.2,189.2,3397.6,676,2383.5,338.1,2004
"Iowa",270.9,1.6,26.7,38,204.5,2905.3,615.1,2107.3,182.9,2004
"Kansas",374.5,4.5,40.4,66.3,263.4,3973.5,731.1,2934,308.4,2004
"Kentucky",244.9,5.7,29.9,78.8,130.5,2537.7,624.8,1701.3,211.6,2004
"Louisiana",638.7,12.7,35.8,145.4,444.9,4410.2,1004.5,2969.2,436.6,2004
"Maine",103.5,1.4,23.9,21.9,56.3,2409.6,481.4,1829.3,98.9,2004
"Maryland",700.5,9.4,23.7,229.6,437.8,3640.2,660,2335.1,645.2,2004
"Massachusetts",458.8,2.6,28,116.4,311.7,2459.7,537.2,1578.8,343.7,2004
"Michigan",490.2,6.4,54.2,111.9,317.7,3057.6,636.8,1921,499.9,2004
"Minnesota",269.6,2.2,41.6,79.8,146,3039,549.9,2224.2,265,2004
"Mississippi",295.1,7.8,40,86.2,161.1,3478.5,952.9,2254.2,271.4,2004
"Missouri",490.5,6.2,25.7,115.2,343.4,3903.5,703.3,2750.2,450,2004
"Montana",293.8,3.2,29.5,25.1,236,2936.2,379.2,2382.4,174.6,2004
"Nebraska",308.7,2.3,35.5,65.1,205.8,3520.6,562.4,2655.6,302.6,2004
"Nevada",615.9,7.4,40.9,210.1,357.6,4206.6,991.2,2246,969.5,2004
"New Hampshire",167,1.4,35.3,38.5,91.8,2040.1,382.1,1508.5,149.4,2004
"New Jersey",355.7,4.5,15.3,150.3,185.6,2429.2,471.7,1609.1,348.4,2004
"New Mexico",687.3,8.9,54.6,108.3,515.5,4197.7,1046.8,2735.7,415.2,2004
"New York",441.6,4.6,18.8,174.3,244,2198.6,367.7,1617.7,213.3,2004
"North Carolina",447.8,6.2,27.4,137.9,276.2,4160.2,1184.8,2659.4,316,2004
"North Dakota",79.4,1.4,25.1,6.1,46.8,1916.6,301.1,1472.7,142.8,2004
"Ohio",341.8,4.5,40.5,153.1,143.6,3673.2,846.1,2470.6,356.5,2004
"Oklahoma",500.5,5.3,44.2,87.7,363.3,4242.1,1000.2,2874.1,367.7,2004
"Oregon",298.3,2.5,35.7,76.5,183.6,4631.3,836.6,3279,515.6,2004
"Pennsylvania",411.1,5.2,28.5,148.9,228.4,2415,438.8,1726.5,249.6,2004
"Puerto Rico",257.9,20.4,5.1,154.8,77.6,1542.4,468.9,813.4,260,2004
"Rhode Island",247.4,2.4,29.6,67.6,147.7,2884.1,505.7,2001,377.4,2004
"South Carolina",784.2,6.9,40.9,129.7,606.7,4504.8,1034.4,3097.9,372.5,2004
"South Dakota",171.5,2.3,43.8,14.8,110.5,1933.5,408.5,1415.3,109.7,2004
"Tennessee",695.2,5.9,37.6,149.8,501.8,4306.5,1020.3,2866.8,419.4,2004
"Texas",540.5,6.1,37.3,159.3,337.9,4494,978.7,3097,418.3,2004
"Utah",236,1.9,39.1,51.7,143.3,4085.6,637.1,3128.2,320.3,2004
"Vermont",112,2.6,24.5,12.2,72.7,2308.2,544.9,1670.8,92.5,2004
"Virginia",275.6,5.2,23.7,92.6,154.1,2676.6,386,2057.2,233.4,2004
"Washington",343.8,3.1,46.1,94.6,200.2,4849.2,977.3,3175,696.9,2004
"West Virginia",271.2,3.7,17.6,42.3,207.6,2506.2,602.2,1698.1,206,2004
"Wisconsin",209.6,2.8,20.6,73.8,112.4,2663.1,433,2023.6,206.5,2004
"Wyoming",229.6,2.2,22.1,13.2,192.1,3334.3,540.5,2636,157.7,2004
"Alabama",431.7,8.2,34.3,141.4,247.8,3892.1,953.8,2650,288.3,2005
"Alaska",631.9,4.8,81.1,80.9,465.1,3612.5,622.5,2599.1,391,2005
"Arizona",513.2,7.5,33.8,144.4,327.4,4838,948.4,2965.2,924.4,2005
"Arkansas",527.5,6.7,42.9,91.1,386.8,4057.9,1084.6,2711.2,262.1,2005
"California",526.3,6.9,26,176.1,317.3,3322.6,693.3,1916.5,712.8,2005
"Colorado",396.5,3.7,43.4,84.6,264.7,4039.5,744.8,2735.2,559.5,2005
"Connecticut",274.5,2.9,20,113,138.6,2558,437.1,1824.1,296.8,2005
"Delaware",632.1,4.4,44.7,154.8,428.2,3111.4,688.9,2144,278.5,2005
"District of Columbia",1459,35.4,30.2,672.1,721.3,4747,649.7,2694.9,1402.3,2005
"Florida",708,5,37.1,169.4,496.6,4007.9,926.3,2658.3,423.3,2005
"Georgia",448.9,6.2,23.6,154.8,264.3,4172.3,931,2751.1,490.2,2005
"Hawaii",255.1,1.9,26.9,78.5,147.8,4792.6,767.9,3308.4,716.4,2005
"Idaho",256.8,2.4,40.4,18.6,195.4,2697.9,564.4,1931.7,201.8,2005
"Illinois",551.5,6,33.7,181.7,330.2,3080.3,606.9,2164.8,308.6,2005
"Indiana",323.7,5.7,29.6,108.6,179.9,3456.3,697.6,2412,346.7,2005
"Iowa",291.3,1.3,27.9,38.9,223.3,2833.7,606.4,2042.7,184.6,2005
"Kansas",387.4,3.7,38.4,65.3,280,3787,689.2,2758.1,339.6,2005
"Kentucky",266.8,4.6,34,88.4,139.8,2530.5,634,1685.8,210.8,2005
"Louisiana",594.4,9.9,31.4,118,435.1,3683.1,870.6,2494.5,318.1,2005
"Maine",112.2,1.4,24.7,24.4,61.7,2413.1,478.5,1832.6,102,2005
"Maryland",703,9.9,22.6,256.7,413.8,3544.1,641.4,2294.3,608.4,2005
"Massachusetts",456.9,2.7,27.1,119,308.1,2363.6,541.1,1527.4,295.1,2005
"Michigan",552.1,6.1,51.3,131.8,362.9,3091.1,696.8,1917.8,476.5,2005
"Minnesota",297,2.2,44,92,158.7,3084.1,578.9,2226.9,278.2,2005
"Mississippi",278.4,7.3,39.3,82.3,149.4,3260.1,919.7,2083.9,256.5,2005
"Missouri",525.4,6.9,28,124.1,366.4,3927.5,738.3,2746.2,443.1,2005
"Montana",281.5,1.9,32.2,18.9,228.5,3142.9,389.2,2543,210.7,2005
"Nebraska",287,2.5,32.9,59.1,192.5,3423.2,532.4,2574.3,316.5,2005
"Nevada",606.8,8.5,42.1,194.7,361.5,4241.5,972.4,2153.9,1115.2,2005
"New Hampshire",132,1.4,30.9,27.4,72.3,1796.4,317,1377.3,102.1,2005
"New Jersey",354.7,4.8,13.9,151.6,184.4,2333,447.1,1568.4,317.5,2005
"New Mexico",702.2,7.4,54.1,98.7,541.9,4148.3,1093.9,2639.9,414.5,2005
"New York",445.8,4.5,18.9,182.7,239.7,2108.5,353.3,1569.6,185.6,2005
"North Carolina",468.1,6.7,26.5,145.5,289.4,4075.1,1201.1,2546.2,327.8,2005
"North Dakota",98.2,1.1,24.2,7.4,65.5,1978.2,311.9,1500.3,166,2005
"Ohio",351.3,5.1,39.8,163.1,143.4,3662.7,872.8,2429,360.9,2005
"Oklahoma",508.6,5.3,41.7,91,370.5,4042,1006,2644.2,391.8,2005
"Oregon",286.8,2.2,34.8,68.1,181.8,4399.8,758.6,3112.2,529,2005
"Pennsylvania",424.5,6.1,28.9,154.6,235,2417.2,451.6,1729.1,236.5,2005
"Puerto Rico",244.9,19.6,4.3,141.9,79.1,1417.8,439.4,740.7,237.7,2005
"Rhode Island",251.2,3.2,29.8,72.1,146.1,2718.9,494.2,1816,408.7,2005
"South Carolina",761.1,7.4,42.5,132.1,579,4339.4,1000.9,2954.1,384.4,2005
"South Dakota",175.7,2.3,46.7,18.6,108.1,1776.4,324.4,1343.7,108.4,2005
"Tennessee",752.8,7.2,36.4,167.3,541.9,4275.5,1026.9,2828.1,420.6,2005
"Texas",529.7,6.2,37.2,156.6,329.8,4332,961.6,2961.7,408.7,2005
"Utah",227.2,2.3,37.3,44.3,143.4,3868.9,606.2,2918.8,343.9,2005
"Vermont",119.7,1.3,23.3,11.7,83.5,2280.7,491.8,1686.1,102.9,2005
"Virginia",282.8,6.1,22.7,99.2,154.8,2638.2,392.1,2035,211.1,2005
"Washington",345.8,3.3,44.7,92.1,205.8,4893,959.7,3149.5,783.9,2005
"West Virginia",272.8,4.4,17.7,44.6,206.1,2625.2,621.2,1794,210,2005
"Wisconsin",241.5,3.5,20.6,82.2,135.2,2660.2,440.8,1992.8,226.6,2005
"Wyoming",230.1,2.7,24,15.3,188.1,3155.3,476.3,2533.9,145.1,2005
"Alabama",425.2,8.3,35.9,153.5,227.6,3936.1,969.1,2644.3,322.7,2006
"Alaska",688,5.4,76,90.3,516.4,3604.9,617.3,2610.2,377.4,2006
"Arizona",501.4,7.5,31.5,149.6,312.7,4627.9,925.3,2813.1,889.5,2006
"Arkansas",551.6,7.3,46.5,98.4,399.4,3967.5,1139.9,2562.1,265.5,2006
"California",532.5,6.8,25.3,194.7,305.7,3170.9,676,1829.1,665.7,2006
"Colorado",391.6,3.3,43.7,80.7,264,3451.3,682.1,2331.8,437.5,2006
"Connecticut",280.8,3.1,18.1,121,138.6,2504.1,419.3,1788.4,296.4,2006
"Delaware",681.6,4.9,46.9,203.3,426.5,3417.9,725.2,2362.8,329.9,2006
"District of Columbia",1508.4,29.1,31.8,658.4,789.1,4653.8,659.5,2735.4,1258.9,2006
"Florida",712,6.2,35.8,188.8,481.2,3986.1,944.6,2619,422.5,2006
"Georgia",471,6.4,23.2,165.6,275.8,3889.2,909,2519.3,460.9,2006
"Hawaii",281.2,1.6,27.6,88.9,163,4230.4,677.5,2949.1,603.9,2006
"Idaho",247.2,2.5,40,20.5,184.2,2418.8,513.2,1740,165.6,2006
"Illinois",541.6,6.1,31.8,185.3,318.4,3019.6,602.1,2124.2,293.3,2006
"Indiana",314.8,5.8,29.1,114.7,165.2,3502.4,731.3,2424.8,346.3,2006
"Iowa",283.5,1.8,27.8,43.5,210.4,2802.7,604.2,2030.7,167.9,2006
"Kansas",425,4.6,44.8,67.9,307.7,3750.2,723.3,2712,314.9,2006
"Kentucky",263,4,30.8,86.2,142,2544.5,644.8,1679.9,219.8,2006
"Louisiana",697.8,12.4,36.4,133.6,515.4,3993.7,1049.2,2579.7,364.8,2006
"Maine",115.5,1.7,25.7,29.1,59,2518.7,512.9,1904.3,101.4,2006
"Maryland",678.6,9.7,21,256,392,3480.9,667,2270.4,543.5,2006
"Massachusetts",447,2.9,27.1,125,292.1,2391,546.5,1565.4,279,2006
"Michigan",562.4,7.1,52.2,140.7,362.4,3212.8,753.9,1963.5,495.4,2006
"Minnesota",312,2.4,31.8,105.1,172.6,3079.5,583.9,2236.6,258.9,2006
"Mississippi",298.6,7.7,34.4,107.1,149.5,3208.8,935.9,1986.1,286.8,2006
"Missouri",545.6,6.3,30.2,129.9,379.3,3826.5,764.1,2627,435.3,2006
"Montana",253.7,1.8,28.5,17.4,206.1,2687.5,310.7,2191.8,185,2006
"Nebraska",281.8,2.8,31,63.8,184.1,3340.7,534.5,2521.3,284.9,2006
"Nevada",741.6,9,43.2,281.6,407.8,4088.8,994.6,2013.8,1080.4,2006
"New Hampshire",138.7,1,26.2,32.2,79.4,1874.1,331.4,1434.5,108.1,2006
"New Jersey",351.6,4.9,14.2,153.1,179.4,2291.9,452,1556.5,283.4,2006
"New Mexico",643.2,6.8,56,107.7,472.8,3937.2,1069.7,2395.5,472,2006
"New York",434.9,4.8,16.4,178.6,235.1,2052.7,355.1,1531.1,166.4,2006
"North Carolina",475.6,6.1,28.2,152.2,289.1,4120.8,1212.7,2567.9,340.2,2006
"North Dakota",127.9,1.3,30.4,11.3,84.9,2000.3,376.3,1464.8,159.2,2006
"Ohio",350.3,4.7,39.6,166.8,139.2,3678.6,909.8,2442.8,326.1,2006
"Oklahoma",497.4,5.8,41.6,87.5,362.5,3604.2,960.5,2270.5,373.2,2006
"Oregon",280.3,2.3,32.3,72.7,173,3672.1,645.2,2636.1,390.7,2006
"Pennsylvania",439.4,5.9,27.3,168.6,237.6,2443.5,463.2,1742.9,237.4,2006
"Puerto Rico",227.3,18.8,3,133.5,72,1354.4,424.4,711.2,218.8,2006
"Rhode Island",227.5,2.6,26.7,68.8,129.4,2586.9,507.2,1744.2,335.5,2006
"South Carolina",765.5,8.3,40.8,136.5,579.9,4242.3,989.8,2873,379.6,2006
"South Dakota",171.4,1.2,43,15.2,112,1619.6,338.9,1188.9,91.8,2006
"Tennessee",760.2,6.8,35.5,184.3,533.7,4128.3,1040.9,2713.2,374.1,2006
"Texas",516.3,5.9,35.6,158.5,316.4,4081.5,917.3,2758.2,405.9,2006
"Utah",224.4,1.8,34.1,48.8,139.7,3516.4,576.5,2614.5,325.4,2006
"Vermont",136.6,1.9,24,17.6,93,2304.7,528.9,1681.8,93.9,2006
"Virginia",282.2,5.2,23.4,101.4,152.1,2478.2,417.6,1866.8,193.8,2006
"Washington",345.9,3,42.9,100.1,199.8,4480,911.6,2850.7,717.6,2006
"West Virginia",279.7,4.1,21.4,46.9,207.3,2621.5,634.1,1771.8,215.6,2006
"Wisconsin",284,3,20.4,100.2,160.6,2817.8,485.8,2079.5,252.5,2006
"Wyoming",239.6,1.7,27.2,14,196.7,2980.6,450.5,2379.4,150.7,2006
"Alabama",448,8.9,33.4,159.9,245.8,3971.6,979.5,2684.6,307.5,2007
"Alaska",661.2,6.4,77.4,85.3,492,3379.5,538.7,2487,353.8,2007
"Arizona",482.7,7.4,29.3,151.7,294.3,4414,912.2,2738.4,763.4,2007
"Arkansas",529.4,6.7,44.7,106.7,371.2,3953.1,1131.4,2574.4,247.3,2007
"California",522.6,6.2,24.7,193,298.8,3033,648.4,1784.4,600.2,2007
"Colorado",347.8,3.1,41.1,71,232.5,3006.1,591.4,2069.3,345.4,2007
"Connecticut",256,3,18.8,103,131.2,2399.9,432.9,1705.2,261.7,2007
"Delaware",689.2,4.3,38.9,197.3,448.8,3370.1,733.3,2369,267.8,2007
"District of Columbia",1414.3,30.8,32.6,724.3,626.6,4913.9,667.4,2954.7,1291.9,2007
"Florida",722.6,6.6,33.7,209.1,473.2,4089.3,996.3,2689.4,403.6,2007
"Georgia",493.2,7.5,22.8,181.7,281.2,3901,950.2,2504.6,446.3,2007
"Hawaii",272.8,1.7,25.4,86.1,159.6,4225.4,708.8,2993.3,523.2,2007
"Idaho",239.4,3.3,38.5,15.5,182,2246.6,465.3,1632.8,148.5,2007
"Illinois",533.2,5.9,31.9,179.7,315.7,2935.8,587.6,2084.5,263.7,2007
"Indiana",333.6,5.6,27.5,124.1,176.4,3396.6,739.4,2349,308.2,2007
"Iowa",294.7,1.2,30.3,43.9,219.2,2615.6,567,1885.1,163.5,2007
"Kansas",452.7,3.9,44.3,72.6,331.8,3678.7,729.9,2640.2,308.5,2007
"Kentucky",295,4.8,32.6,95.9,161.7,2518.3,652.7,1661.1,204.5,2007
"Louisiana",729.5,14.2,32.4,141.7,541.2,4076,1038.9,2683.5,353.6,2007
"Maine",118,1.6,29.7,26.5,60.2,2428.8,506.8,1826.4,95.6,2007
"Maryland",641.9,9.8,21,236,375.1,3431.5,660.2,2265.9,505.4,2007
"Massachusetts",431.5,2.9,25.3,108.6,294.7,2391.5,552.9,1606.1,232.4,2007
"Michigan",536,6.7,45.5,133.2,350.7,3065.7,748.9,1898.3,418.5,2007
"Minnesota",288.7,2.2,36,91.8,158.6,3036.6,570.8,2224.7,241,2007
"Mississippi",291.3,7.1,35.6,98.2,150.3,3200.8,957.9,1990,252.9,2007
"Missouri",504.9,6.5,29.2,121.9,347.3,3738.4,739.1,2594.7,404.6,2007
"Montana",287.5,1.5,30.3,19.9,235.8,2765.4,316,2266.2,183.2,2007
"Nebraska",302.4,3.8,29.7,62.4,206.5,3161.4,509.8,2358.6,293.1,2007
"Nevada",750.6,7.5,42.7,270.2,430.2,3777.8,968.3,1939.1,870.5,2007
"New Hampshire",137.3,1.1,25.3,32.8,78,1892,378.9,1414.4,98.7,2007
"New Jersey",329.3,4.4,12.1,144.5,168.3,2213.1,431.5,1528.8,252.7,2007
"New Mexico",664.2,8.2,52.4,117.8,485.8,3725.7,964.1,2307.9,453.8,2007
"New York",414.1,4.2,15.2,161.1,233.7,1978.6,336.1,1497.2,145.3,2007
"North Carolina",466.4,6.5,26.3,149.5,284.1,4087.3,1200.7,2577.9,308.6,2007
"North Dakota",142.4,1.9,32.4,10.9,97.2,1889.6,338.3,1408.4,142.9,2007
"Ohio",343.2,4.5,38.8,159.2,140.7,3455.2,859.1,2301.6,294.6,2007
"Oklahoma",499.6,6.1,43.1,93.2,357.1,3526.4,943.3,2211.1,372.1,2007
"Oregon",287.6,1.9,33.5,76.4,175.8,3526.2,609,2529,388.2,2007
"Pennsylvania",416.5,5.8,27.7,156.5,226.4,2361.3,450.6,1697.9,212.8,2007
"Puerto Rico",226.9,18.5,2.5,130.3,75.7,1368.5,435.4,734.6,198.5,2007
"Rhode Island",227.3,1.8,24.2,71,130.3,2622.6,495,1822.7,305,2007
"South Carolina",788.3,8,39.5,144,596.9,4271.7,1025.8,2859.6,386.3,2007
"South Dakota",169.2,2.1,38.7,14.1,114.3,1652.3,298.7,1261.3,92.3,2007
"Tennessee",753.3,6.4,35.3,179,532.5,4088.6,1002.4,2734.4,351.8,2007
"Texas",510.6,5.9,35.3,162.2,307.2,4121.2,955.1,2773.3,392.8,2007
"Utah",234.8,2.2,34.3,53.7,144.6,3500.3,587.5,2579.7,333.1,2007
"Vermont",124.3,1.9,19.8,12.9,89.7,2322.7,500,1719.6,103.2,2007
"Virginia",269.7,5.3,22.6,99.2,142.6,2466.4,410.9,1873.3,182.2,2007
"Washington",333.1,2.7,40.6,93.6,196.2,4030.8,814.8,2634.4,581.6,2007
"West Virginia",275.2,3.5,20.4,47,204.3,2525,596.8,1735.5,192.7,2007
"Wisconsin",290.9,3.3,21.8,97.7,168.1,2837.7,497,2100.9,239.8,2007
"Wyoming",239.3,3.1,30.6,16.1,189.5,2865.9,449.1,2264.6,152.2,2007
"Alabama",452.8,7.6,34.7,157.6,253,4082.9,1081.3,2713,288.7,2008
"Alaska",651.9,4.1,64.3,94,489.6,2932.3,472.1,2221.5,238.7,2008
"Arizona",447,6.3,25.7,149.2,265.9,4291,868.9,2849.5,572.6,2008
"Arkansas",503.4,5.7,48.9,95.8,353.1,3835.1,1180,2427.1,228,2008
"California",503.8,5.8,24.2,188.8,285,2940.3,647.1,1769.4,523.8,2008
"Colorado",343.1,3.2,42.5,68.1,229.3,2849,572,2003.3,273.7,2008
"Connecticut",297.8,3.5,19.3,111.6,163.5,2458.7,428.7,1774,256,2008
"Delaware",703.4,6.5,41.9,210.5,444.4,3585.3,774.3,2520,291,2008
"District of Columbia",1437.7,31.4,31.4,748.5,626.4,5104.6,640,3372.2,1092.4,2008
"Florida",688.9,6.4,32.6,197.9,452,4140.8,1028.3,2766,346.5,2008
"Georgia",478.9,6.6,22.7,179.2,270.5,4015.5,1038.9,2567.5,409.1,2008
"Hawaii",272.6,1.9,28.3,84.3,158.1,3571.2,728.1,2444.7,398.5,2008
"Idaho",228.6,1.5,36.2,15.8,175.1,2101.2,439.8,1552,109.5,2008
"Illinois",525.4,6.1,31.9,186.4,300.9,2932.6,612.1,2068.1,252.5,2008
"Indiana",333.8,5.1,27,118.1,183.5,3335.8,762.8,2299.2,273.7,2008
"Iowa",283.8,2.5,29.6,41.6,210.1,2420.9,547.9,1728.8,144.3,2008
"Kansas",410.6,4,42.5,60.1,304,3377.2,699.9,2413.4,263.9,2008
"Kentucky",296.2,4.6,33,93.8,164.8,2583.9,675.5,1728.8,179.6,2008
"Louisiana",656.2,11.9,27.9,135.9,480.4,3823.1,982.1,2529.4,311.6,2008
"Maine",117.5,2.4,28.5,25.3,61.4,2452.4,495.4,1867.7,89.3,2008
"Maryland",628.2,8.8,20,234.4,365.1,3517.6,689.6,2378.3,449.7,2008
"Massachusetts",449,2.6,26.7,108.8,310.9,2400.1,555.5,1648.6,196,2008
"Michigan",501.5,5.4,45,129.6,321.5,2934.8,741.5,1831.1,362.3,2008
"Minnesota",262.8,2.1,34.6,80,146.1,2850.6,505.9,2151.6,193.1,2008
"Mississippi",284.9,8.1,30.3,102.6,143.9,2940.4,885.6,1838.7,216.2,2008
"Missouri",504.4,7.7,27.3,125,344.4,3663.7,774.5,2537.9,351.3,2008
"Montana",258.1,2.4,30.4,17.8,207.6,2603,344.4,2095.9,162.6,2008
"Nebraska",303.7,3.8,32.7,72.8,194.3,2878.6,492,2151.8,234.8,2008
"Nevada",724.5,6.3,42.4,248.9,426.9,3447.5,929,1906.8,611.6,2008
"New Hampshire",157.2,1,29.7,31.8,94.7,2091.9,325.7,1660.8,105.4,2008
"New Jersey",326.5,4.3,12.9,146.3,163,2293.4,465.3,1595.7,232.4,2008
"New Mexico",649.9,7.2,57.4,109.5,475.9,3909.2,1094.2,2411.6,403.4,2008
"New York",398.1,4.3,14.4,163,216.4,1993.5,337.3,1527.3,128.9,2008
"North Carolina",467.3,6.5,24.8,155.4,280.6,4044.1,1210.1,2544,290,2008
"North Dakota",166.5,0.5,36.2,11.2,118.6,1894.4,328.3,1428.6,137.5,2008
"Ohio",348.2,4.7,38.5,163,142.1,3411.7,892.8,2270.5,248.4,2008
"Oklahoma",526.7,5.8,40.2,101.1,379.5,3442.4,963.1,2180.5,298.7,2008
"Oregon",257.2,2.2,30.5,69.7,154.8,3282.2,550.9,2432.3,299,2008
"Pennsylvania",410,5.6,27.9,151.6,224.8,2410.2,470.9,1758.8,180.5,2008
"Puerto Rico",239.9,20.4,2.4,138.3,78.8,1498.6,484,837.4,177.1,2008
"Rhode Island",249.4,2.8,26.4,83.7,136.7,2840.6,547.2,1988.9,304.5,2008
"South Carolina",729.7,6.8,36.6,147.3,539.1,4234.2,1026.1,2814.1,394,2008
"South Dakota",201.4,3.2,53.7,14.9,129.6,1645.6,302.2,1244,99.5,2008
"Tennessee",722.4,6.6,33.2,173.8,508.9,4042.6,1046,2687.3,309.3,2008
"Texas",507.9,5.6,32.9,155.2,314.1,3985.6,946,2688.8,350.8,2008
"Utah",221.8,1.4,32.6,51.9,135.8,3357.4,536.5,2557.9,262.9,2008
"Vermont",135.9,2.7,20.4,14.3,98.3,2538.5,557.2,1887.1,94.2,2008
"Virginia",255.9,4.7,22.6,95.7,132.8,2518.1,411.8,1935.6,170.7,2008
"Washington",331.2,2.9,40.1,96.9,191.2,3758.4,801.3,2524.6,432.6,2008
"West Virginia",273.8,3.3,20,49,201.5,2568.6,609.9,1782.2,176.6,2008
"Wisconsin",274,2.6,19.9,91.1,160.4,2756.4,488.3,2063.4,204.7,2008
"Wyoming",232,1.9,33.8,16.1,180.2,2717.3,410,2173.4,133.9,2008
"Alabama",449.8,6.9,31.9,132.9,278.1,3772.4,1037.2,2499.9,235.3,2009
"Alaska",633,3.1,73.3,93.8,462.7,2946,515,2189.2,241.8,2009
"Arizona",408.3,5.4,32,122.8,248.1,3556.5,809.8,2352.8,394,2009
"Arkansas",517.7,6.2,47.3,89.4,374.8,3773.7,1203.1,2359.3,211.2,2009
"California",472,5.3,23.6,173.4,269.7,2731.5,622.6,1665.1,443.8,2009
"Colorado",337.8,3.5,44.6,67.4,222.3,2666.2,530.4,1887.9,247.9,2009
"Connecticut",298.7,3,18.5,113.4,163.7,2335.8,428.4,1694.9,212.5,2009
"Delaware",636.6,4.6,38.2,188.8,405,3349.6,783.2,2351,215.5,2009
"District of Columbia",1345.9,24,25,731.9,565,4745.4,616.4,3206.5,922.5,2009
"Florida",612.5,5.5,29.7,166.7,410.6,3840.8,981.1,2588.6,271.1,2009
"Georgia",426.1,5.8,23.4,148.6,248.3,3666.6,1000.7,2328.7,337.2,2009
"Hawaii",274.8,1.7,30.3,79.8,163,3661.2,708.6,2580.5,372.1,2009
"Idaho",228.4,1.4,35.7,15.8,175.4,1988.7,424.2,1471.1,93.3,2009
"Illinois",497.2,6,30.2,177.6,283.4,2736.9,603,1927.3,206.6,2009
"Indiana",333.2,4.8,25.5,114.5,188.4,3116.2,761.5,2138.7,216.1,2009
"Iowa",279.2,1.1,28.4,39.7,210,2308.7,539.4,1640,129.3,2009
"Kansas",400.1,4.2,38.9,63.4,293.6,3207.8,690.7,2305.9,211.2,2009
"Kentucky",258.7,4.1,35,84.1,135.4,2512.7,688.5,1683.3,140.9,2009
"Louisiana",620,11.8,30.3,135.9,442,3794.6,1029.5,2504.3,260.8,2009
"Maine",119.8,2,28.5,30.3,59,2403.5,510.4,1815.7,77.4,2009
"Maryland",589.9,7.7,20.3,210.7,351.3,3200.7,649.7,2206.7,344.2,2009
"Massachusetts",457.1,2.6,25.8,112.6,316,2304,525.7,1600.3,178,2009
